paper_id,source_record_id,library,expected_record,current_filename,current_relpath,file_exists,file_size_bytes,page_count,pdf_readable,pdf_status,pdf_match_status,identity_basis,verification_flags,notes
B007,B-H2-02,B,yes,B-H2-02_2012_Ruggles_Ignitability_Mixing_Underexpanded_HydrogenJets.pdf,02_PDF_Raw/B/B-H2-02_2012_Ruggles_Ignitability_Mixing_Underexpanded_HydrogenJets.pdf,yes,1403045,12,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B008,B-H2-03,B,yes,B-H2-03_2013_Bonelli_Hydrogen_UnderexpandedJets_RealGas.pdf,02_PDF_Raw/B/B-H2-03_2013_Bonelli_Hydrogen_UnderexpandedJets_RealGas.pdf,yes,1601300,11,yes,downloaded,matched,source_record_id_filename;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf,title_not_verified,
B009,B-H2-04,B,yes,B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,02_PDF_Raw/B/B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,yes,4500259,22,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B010,B-H2-05,B,yes,B-H2-05_2016_Li_LES_Underexpanded_Nitrogen_HydrogenJets.pdf,02_PDF_Raw/B/B-H2-05_2016_Li_LES_Underexpanded_Nitrogen_HydrogenJets.pdf,yes,2474931,11,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B011,B-H2-06,B,yes,B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,yes,7808547,23,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B012,B-H2-07,B,yes,B-H2-07_2016_Hamzehloo_Transient_UnderexpandedJets_AMR.pdf,02_PDF_Raw/B/B-H2-07_2016_Hamzehloo_Transient_UnderexpandedJets_AMR.pdf,yes,12953205,19,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B013,B-H2-08,B,yes,B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,02_PDF_Raw/B/B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,yes,3200562,15,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B014,B-H2-09,B,yes,B-H2-09_2020_Zhao_Microscopic_Transient_Underexpanded_HydrogenJets.pdf,02_PDF_Raw/B/B-H2-09_2020_Zhao_Microscopic_Transient_Underexpanded_HydrogenJets.pdf,yes,1761118,9,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B015,B-H2-10,B,yes,B-H2-10_2020_Wang_Visualization_OutwardOpening_HydrogenJet.pdf,02_PDF_Raw/B/B-H2-10_2020_Wang_Visualization_OutwardOpening_HydrogenJet.pdf,yes,4231132,11,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B016,B-NG-01,B,yes,B-NG-01_2017_Dong_HighPressure_GasJets_ShockWaveStructure.pdf,02_PDF_Raw/B/B-NG-01_2017_Dong_HighPressure_GasJets_ShockWaveStructure.pdf,yes,2558301,13,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B017,B-NG-02,B,yes,B-NG-02_2019_Lei_HighPressure_Methane_PulsedInjection.pdf,02_PDF_Raw/B/B-NG-02_2019_Lei_HighPressure_Methane_PulsedInjection.pdf,yes,7068133,15,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B018,B-NG-03,B,yes,B-NG-03_2020_Allocca_Underexpanded_GaseousJets_DI_Engines.pdf,02_PDF_Raw/B/B-NG-03_2020_Allocca_Underexpanded_GaseousJets_DI_Engines.pdf,yes,3901900,15,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B019,B-NG-04,B,yes,B-NG-04_2021_Yosri_LES_MethaneDI_FullInjectorGeometry.pdf,02_PDF_Raw/B/B-NG-04_2021_Yosri_LES_MethaneDI_FullInjectorGeometry.pdf,yes,9278392,12,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B020,B-NG-05,B,yes,B-NG-05_2023_Lei_HighPressure_MethaneJet_SingleHoleInjector.pdf,02_PDF_Raw/B/B-NG-05_2023_Lei_HighPressure_MethaneJet_SingleHoleInjector.pdf,yes,4703320,14,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B021,B-E-01,B,yes,B-E-01_2023_Anaclerio_Numerical_Underexpanded_HydrogenJets_ICE.pdf,02_PDF_Raw/B/B-E-01_2023_Anaclerio_Numerical_Underexpanded_HydrogenJets_ICE.pdf,yes,6469288,17,yes,downloaded,matched,source_record_id_filename;embedded_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf,,
B022,B-E-02,B,yes,B-E-02_2023_Anaclerio_GasDynamics_Mixing_CrossSection_HydrogenJets.pdf,02_PDF_Raw/B/B-E-02_2023_Anaclerio_GasDynamics_Mixing_CrossSection_HydrogenJets.pdf,yes,4735972,30,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B023,B-E-03,B,yes,B-E-03_2024_Ballatore_PressureBased_LES_HydrogenJets.pdf,02_PDF_Raw/B/B-E-03_2024_Ballatore_PressureBased_LES_HydrogenJets.pdf,yes,2791182,13,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B024,B-E-04,B,yes,B-E-04_2024_Coratella_HollowCone_HydrogenJet_Schlieren.pdf,02_PDF_Raw/B/B-E-04_2024_Coratella_HollowCone_HydrogenJet_Schlieren.pdf,yes,7361546,14,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B025,B-E-05,B,yes,B-E-05_2024_Duronio_CFD_Hydrogen_Methane_UnderexpandedJets.pdf,02_PDF_Raw/B/B-E-05_2024_Duronio_CFD_Hydrogen_Methane_UnderexpandedJets.pdf,yes,4796824,15,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B026,B-E-06,B,yes,B-E-06_2024_Caramia_URANS_Underexpanded_HydrogenJets_ICE.pdf,02_PDF_Raw/B/B-E-06_2024_Caramia_URANS_Underexpanded_HydrogenJets_ICE.pdf,yes,2679399,11,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
